GEOID,NAME,racial_majority,total_filings_12months,eviction_rate_12months,SVI_numeric,ALAND,AWATER,estimated_population,SVI_normalized,eviction_rate_normalized
39049009100,91,White,8,3.8325556439172552,0.129,2087380,0,2087.38,0.129,0.009806882261720617
39049009220,92.20,Other,116,56.321533810156616,0.954,2059603,7971,2059.603,0.954,0.14411758163312083
39049009230,92.30,Other,251,135.8262592744713,0.925,1847949,5258,1847.949,0.925,0.3475571541586825
39049009240,92.40,White,38,45.87909169057209,0.516,828264,0,828.264,0.516,0.11739708233544416
39049009250,92.50,White,19,16.19293800405846,0.675,1173351,0,1173.351,0.675,0.041435076547207225
39049009251,92.51,Other,100,22.38618861707081,0.712,4467040,23764,4467.04,0.712,0.05728259064019569
39049009252,92.52,Black,89,47.73292729953378,0.576,1864541,36485,1864.541,0.576,0.12214074406897356
39049009311,93.11,Other,132,77.55595338887201,0.672,1701997,34982,1701.997,0.672,0.19845298392139427
39049009312,93.12,Black,160,102.04602275626307,0.837,1567920,36725,1567.92,0.837,0.2611190608636969
39049009321,93.21,Black,29,29.57756103431711,0.787,980473,11,980.473,0.787,0.07568413497473173
39049009322,93.22,Black,21,14.139624074527937,0.848,1485188,5290,1485.188,0.848,0.0361809824585236
39049009323,93.23,Black,159,143.99487052234818,0.952,1104206,1896,1104.206,0.952,0.36845929262517485
39049009325,93.25,Black,313,60.332371613484234,0.982,5187928,77217,5187.928,0.982,0.15438065874473947
39049009326,93.26,Black,287,390.80265691339434,0.862,734386,78703,734.386,0.862,1
39049009332,93.32,Black,106,55.47234703500305,0.802,1910862,19339,1910.862,0.802,0.1419446517409329
39049009334,93.34,Black,57,38.70568199411673,0.816,1472652,1135,1472.652,0.816,0.09904150166178191
39049009336,93.36,Other,107,63.0130484122773,0.209,1698061,78605,1698.061,0.209,0.16124007167699886
39049009337,93.37,Black,97,32.69312113138422,0.924,2966985,1334,2966.985,0.924,0.08365634304945202
39049009340,93.40,Black,150,96.79786218694764,0.965,1549621,2866,1549.621,0.965,0.24768987742168544
39049009350,93.50,Black,196,111.00507734958387,0.745,1765685,34134,1765.685,0.745,0.2840438144057543
39049009361,93.61,Black,139,22.4088804942464,0.576,6202898,112192,6202.898,0.576,0.057340655437796643
39049009372,93.72,Black,62,27.94671013131348,0.625,2218508,39090,2218.508,0.625,0.07151105458708983
39049009373,93.73,Black,141,44.88264620442422,0.666,3141526,40633,3141.526,0.666,0.11484734151735987
