GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
1400000US39049006943,Census Tract 69.43; Franklin County; Ohio,4580,568
1400000US39049006944,Census Tract 69.44; Franklin County; Ohio,4725,643
1400000US39049006945,Census Tract 69.45; Franklin County; Ohio,6399,1124
1400000US39049006950,Census Tract 69.50; Franklin County; Ohio,2760,394
1400000US39049006991,Census Tract 69.91; Franklin County; Ohio,4369,429
1400000US39049006992,Census Tract 69.92; Franklin County; Ohio,4599,950
1400000US39049007010,Census Tract 70.10; Franklin County; Ohio,4298,526
1400000US39049007020,Census Tract 70.20; Franklin County; Ohio,6518,821
1400000US39049007041,Census Tract 70.41; Franklin County; Ohio,2135,276
1400000US39049007043,Census Tract 70.43; Franklin County; Ohio,6102,1042
1400000US39049007044,Census Tract 70.44; Franklin County; Ohio,6030,699
1400000US39049007047,Census Tract 70.47; Franklin County; Ohio,4350,787
1400000US39049007048,Census Tract 70.48; Franklin County; Ohio,5969,806
1400000US39049007101,Census Tract 71.01; Franklin County; Ohio,2906,369
1400000US39049007102,Census Tract 71.02; Franklin County; Ohio,3148,352
1400000US39049007103,Census Tract 71.03; Franklin County; Ohio,4696,894
1400000US39049007112,Census Tract 71.12; Franklin County; Ohio,6994,752
1400000US39049007113,Census Tract 71.13; Franklin County; Ohio,6056,1155
1400000US39049007114,Census Tract 71.14; Franklin County; Ohio,5234,950
1400000US39049007115,Census Tract 71.15; Franklin County; Ohio,5457,791
1400000US39049007120,Census Tract 71.20; Franklin County; Ohio,4927,452
1400000US39049007193,Census Tract 71.93; Franklin County; Ohio,6532,738
1400000US39049007198,Census Tract 71.98; Franklin County; Ohio,3031,565
1400000US39049007199,Census Tract 71.99; Franklin County; Ohio,7347,1637
1400000US39049007202,Census Tract 72.02; Franklin County; Ohio,4115,524
1400000US39049007205,Census Tract 72.05; Franklin County; Ohio,5994,629
1400000US39049007209,Census Tract 72.09; Franklin County; Ohio,9599,1363
1400000US39049007211,Census Tract 72.11; Franklin County; Ohio,4338,535
1400000US39049007212,Census Tract 72.12; Franklin County; Ohio,5289,446
1400000US39049007213,Census Tract 72.13; Franklin County; Ohio,5866,627
1400000US39049007214,Census Tract 72.14; Franklin County; Ohio,3843,418
1400000US39049007215,Census Tract 72.15; Franklin County; Ohio,6095,1156
1400000US39049007301,Census Tract 73.01; Franklin County; Ohio,6812,1550
1400000US39049007302,Census Tract 73.02; Franklin County; Ohio,4312,477
1400000US39049007303,Census Tract 73.03; Franklin County; Ohio,6738,754
1400000US39049007305,Census Tract 73.05; Franklin County; Ohio,5149,800
1400000US39049007306,Census Tract 73.06; Franklin County; Ohio,4247,421
1400000US39049007394,Census Tract 73.94; Franklin County; Ohio,3304,392
1400000US39049007397,Census Tract 73.97; Franklin County; Ohio,3378,301
1400000US39049007398,Census Tract 73.98; Franklin County; Ohio,9389,1738
1400000US39049007424,Census Tract 74.24; Franklin County; Ohio,6516,831
1400000US39049007425,Census Tract 74.25; Franklin County; Ohio,2410,298
1400000US39049007426,Census Tract 74.26; Franklin County; Ohio,3682,549
1400000US39049007427,Census Tract 74.27; Franklin County; Ohio,5822,664
1400000US39049007492,Census Tract 74.92; Franklin County; Ohio,6442,677
1400000US39049007494,Census Tract 74.94; Franklin County; Ohio,4280,394
1400000US39049007511,Census Tract 75.11; Franklin County; Ohio,2105,364
1400000US39049007512,Census Tract 75.12; Franklin County; Ohio,4526,1154
1400000US39049007520,Census Tract 75.20; Franklin County; Ohio,3050,590
1400000US39049007531,Census Tract 75.31; Franklin County; Ohio,2754,291
1400000US39049007532,Census Tract 75.32; Franklin County; Ohio,3175,492
1400000US39049007533,Census Tract 75.33; Franklin County; Ohio,1810,352
1400000US39049007534,Census Tract 75.34; Franklin County; Ohio,4126,791
1400000US39049007550,Census Tract 75.50; Franklin County; Ohio,2769,340
1400000US39049007552,Census Tract 75.52; Franklin County; Ohio,4748,896
1400000US39049007553,Census Tract 75.53; Franklin County; Ohio,6480,1733
1400000US39049007710,Census Tract 77.10; Franklin County; Ohio,4185,747
1400000US39049007721,Census Tract 77.21; Franklin County; Ohio,6361,1236
